序号,所用时间,1、你有计划/打算在大学生活中去培养一些艺术方面的爱好或者特长吗,2、你现在有艺术方面的爱好或者特长吗,3、如果你现在可以拿到任意一种乐器，你想玩儿什么,4、如果你现在拿到一种乐器，让你随意玩/探索，你会不知所措吗,5、如果现在你拿到了一张白纸，需要你随意画画，你会有画什么的想法吗,6、你会对什么形式或者类别的艺术活动产生冲动,7、您现在渴望抽出时间去参与艺术活动吗,8、你幻想过自己以某种艺术家的生活方式过日子吗,9、您的年级,10、您的专业类别,11、您的性别,12、你日常有什么与艺术相关的活动，休闲方式或小兴趣来调节你的状态
81,102秒,有,有,我想玩〖口琴〗,不会,我想画〖我的女朋友〗,会〖几乎一切艺术〗,渴望,幻想过这种生活〖画家，或者midi编曲〗,大一,非艺术类专业,男,看画展
82,69秒,有,有,我想玩〖电吉他〗,不会,我想画〖有〗,会〖歌剧〗,渴望,幻想过这种生活〖但是疲惫〗,大二,非艺术类专业,男,乐队排练
83,85秒,有,无,茫然,会,我想画〖自然〗,茫然,渴望,无,大一,非艺术类专业,男,听歌，看演唱会
84,127秒,有,有,我想玩〖箜篌〗,不会,我想画〖有颜料就画水彩，没有就素描〗,会〖需要动手的〗,渴望,无,大四,非艺术类专业,女,弹古筝、画画、做手工
85,55秒,有,有,我想玩〖尤克里里〗,会,没有,会〖记录类〗,渴望,无,大一,非艺术类专业,女,拍照、看戏剧、去音乐会、看书
86,107秒,有,有,我想玩〖小提琴〗,不会,没有,会〖画画 音乐会〗,渴望,幻想过这种生活〖音乐家〗,大一,非艺术类专业,女,参加音乐节
87,138秒,有,有,我想玩〖钢琴〗,会,我想画〖雨一直下〗,会〖舞蹈，音乐会〗,渴望,无,大一,非艺术类专业,女,"体育舞蹈课
街舞课
听音乐"
88,184秒,有,有,我想玩〖古琴〗,不会,没有,会〖舞蹈〗,渴望,幻想过这种生活〖自由〗,大一,艺术类专业,男,跳舞
89,96秒,有,有,茫然,不会,我想画〖火柴人〗,茫然,渴望,无,大一,非艺术类专业,男,"画画
给画配文字"
90,71秒,有,有,我想玩〖唢呐〗,不会,我想画〖小女孩〗,会〖写作〗,渴望,无,大一,非艺术类专业,女,写作，绘画
